-2.3735865611914933e-06 [7^ 0^ 7^ 5 4 9] +
1.3344566164864814e-06 [7^ 0^ 7^ 6 0 5] +
-4.6545698357082174e-05 [7^ 0^ 7^ 6 0 6] +
-9.80396453361661e-06 [7^ 0^ 7^ 6 1 5] +
-3.4363721062209003e-06 [7^ 0^ 7^ 6 1 6] +
-4.206676025501678e-05 [7^ 0^ 7^ 6 2 7] +
-2.663877660183787e-06 [7^ 0^ 7^ 6 3 8] +
-2.6638776601837882e-06 [7^ 0^ 7^ 6 4 9] +
-0.0030098210453103607 [7^ 0^ 7^ 7 0 7] +
0.000475261102667649 [7^ 0^ 7^ 7 1 7] +
-4.0231814382443915e-05 [7^ 0^ 7^ 7 2 5] +
-4.206676025501678e-05 [7^ 0^ 7^ 7 2 6] +
1.4197737343083008e-05 [7^ 0^ 7^ 8 0 8] +
-2.977596685475239e-06 [7^ 0^ 7^ 8 1 8] +
-2.3735865611914924e-06 [7^ 0^ 7^ 8 3 5] +
-2.663877660183787e-06 [7^ 0^ 7^ 8 3 6] +
1.4197737343082997e-05 [7^ 0^ 7^ 9 0 9] +
-2.9775966854752387e-06 [7^ 0^ 7^ 9 1 9] +
-2.3735865611914933e-06 [7^ 0^ 7^ 9 4 5] +
-2.6638776601837882e-06 [7^ 0^ 7^ 9 4 6] +
-2.3735865611914924e-06 [7^ 0^ 8^ 5 2 8] +
-3.548333630559439e-05 [7^ 0^ 8^ 5 3 7] +
-2.6638776601837904e-06 [7^ 0^ 8^ 6 2 8] +
-3.673573541025241e-05 [7^ 0^ 8^ 6 3 7] +
1.4197737343083008e-05 [7^ 0^ 8^ 7 0 8] +
-2.977596685475239e-06 [7^ 0^ 8^ 7 1 8] +
-2.3735865611914924e-06 [7^ 0^ 8^ 7 3 5] +
-2.663877660183787e-06 [7^ 0^ 8^ 7 3 6] +
-0.0030382567490698687 [7^ 0^ 8^ 8 0 7] +
0.00048122211063549925 [7^ 0^ 8^ 8 1 7] +
-3.5483336305594415e-05 [7^ 0^ 8^ 8 2 5] +
-3.673573541025246e-05 [7^ 0^ 8^ 8 2 6] +
-2.3735865611914933e-06 [7^ 0^ 9^ 5 2 9] +
-3.548333630559439e-05 [7^ 0^ 9^ 5 4 7] +
-2.6638776601837882e-06 [7^ 0^ 9^ 6 2 9] +
-3.673573541025243e-05 [7^ 0^ 9^ 6 4 7] +
1.4197737343082997e-05 [7^ 0^ 9^ 7 0 9] +
-2.9775966854752387e-06 [7^ 0^ 9^ 7 1 9] +
-2.3735865611914933e-06 [7^ 0^ 9^ 7 4 5] +
-2.6638776601837882e-06 [7^ 0^ 9^ 7 4 6] +
-0.003038256749069869 [7^ 0^ 9^ 9 0 7] +
0.0004812221106354983 [7^ 0^ 9^ 9 1 7] +
-3.5483336305594415e-05 [7^ 0^ 9^ 9 2 5] +
-3.673573541025246e-05 [7^ 0^ 9^ 9 2 6] +
0.008069114827554208 [7^ 1^ 0 7] +
-0.0009410322327432256 [7^ 1^ 0^ 0 0 7] +
-0.0029543337163795294 [7^ 1^ 0^ 0 1 7] +
1.3344566164864814e-06 [7^ 1^ 0^ 0 2 5] +
-4.6545698357082174e-05 [7^ 1^ 0^ 0 2 6] +
0.0002372758960631989 [7^ 1^ 0^ 1 0 7] +
0.00045421653822946915 [7^ 1^ 0^ 1 1 7] +
-9.80396453361661e-06 [7^ 1^ 0^ 1 2 5] +
-3.4363721062209003e-06 [7^ 1^ 0^ 1 2 6] +
-5.282688838320096e-06 [7^ 1^ 0^ 2 0 5] +
-9.80396453361661e-06 [7^ 1^ 0^ 2 0 6] +
-3.5906720716515105e-05 [7^ 1^ 0^ 2 1 5] +
-3.612299102428034e-05 [7^ 1^ 0^ 2 1 6] +
-4.206676025501678e-05 [7^ 1^ 0^ 2 2 7] +
-2.6638776601837904e-06 [7^ 1^ 0^ 2 3 8] +
-2.6638776601837882e-06 [7^ 1^ 0^ 2 4 9] +
-2.663877660183787e-06 [7^ 1^ 0^ 3 2 8] +
-3.673573541025241e-05 [7^ 1^ 0^ 3 3 7] +
-2.6638776601837882e-06 [7^ 1^ 0^ 4 2 9] +
-3.673573541025243e-05 [7^ 1^ 0^ 4 4 7] +
0.141556502112075 [7^ 1^ 1 7] +
0.0002372758960631989 [7^ 1^ 1^ 0 0 7] +
0.00045421653822946915 [7^ 1^ 1^ 0 1 7] +
-9.80396453361661e-06 [7^ 1^ 1^ 0 2 5] +
-3.4363721062209003e-06 [7^ 1^ 1^ 0 2 6] +
0.00045421653822946915 [7^ 1^ 1^ 1 0 7] +
-0.0005959407561774762 [7^ 1^ 1^ 1 1 7] +
-3.612299102428034e-05 [7^ 1^ 1^ 1 2 5] +
-2.195364263091435e-06 [7^ 1^ 1^ 1 2 6] +
-9.80396453361661e-06 [7^ 1^ 1^ 2 0 5] +
-3.4363721062209003e-06 [7^ 1^ 1^ 2 0 6] +
-3.612299102428034e-05 [7^ 1^ 1^ 2 1 5] +
-2.195364263091435e-06 [7^ 1^ 1^ 2 1 6] +
-1.7069859417695167e-05 [7^ 1^ 1^ 2 2 7] +
-7.61574143541751e-06 [7^ 1^ 1^ 2 3 8] +
-7.61574143541751e-06 [7^ 1^ 1^ 2 4 9] +
-7.61574143541751e-06 [7^ 1^ 1^ 3 2 8] +
-1.8146844475432405e-06 [7^ 1^ 1^ 3 3 7] +
-7.61574143541751e-06 [7^ 1^ 1^ 4 2 9] +
-1.814684447543236e-06 [7^ 1^ 1^ 4 4 7] +
0.009953790655893417 [7^ 1^ 2 5] +
0.029961214762018545 [7^ 1^ 2 6] +
-5.282688838320096e-06 [7^ 1^ 2^ 0 0 5] +
-9.80396453361661e-06 [7^ 1^ 2^ 0 0 6] +
-3.5906720716515105e-05 [7^ 1^ 2^ 0 1 5] +
-3.612299102428034e-05 [7^ 1^ 2^ 0 1 6] +
-4.206676025501678e-05 [7^ 1^ 2^ 0 2 7] +
-2.6638776601837904e-06 [7^ 1^ 2^ 0 3 8] +
-2.6638776601837882e-06 [7^ 1^ 2^ 0 4 9] +
-9.80396453361661e-06 [7^ 1^ 2^ 1 0 5] +
-3.4363721062209003e-06 [7^ 1^ 2^ 1 0 6] +
-3.612299102428034e-05 [7^ 1^ 2^ 1 1 5] +
-2.195364263091435e-06 [7^ 1^ 2^ 1 1 6] +
-1.7069859417695167e-05 [7^ 1^ 2^ 1 2 7] +
-7.61574143541751e-06 [7^ 1^ 2^ 1 3 8] +
-7.61574143541751e-06 [7^ 1^ 2^ 1 4 9] +
0.000475261102667649 [7^ 1^ 2^ 2 0 7] +
-0.0005296561849245632 [7^ 1^ 2^ 2 1 7] +
-4.206676025501678e-05 [7^ 1^ 2^ 2 2 5] +
-1.7069859417695167e-05 [7^ 1^ 2^ 2 2 6] +
-2.977596685475239e-06 [7^ 1^ 2^ 3 0 8] +
-2.1519315434571634e-06 [7^ 1^ 2^ 3 1 8] +
-2.6638776601837904e-06 [7^ 1^ 2^ 3 3 5] +
-7.61574143541751e-06 [7^ 1^ 2^ 3 3 6] +
-2.9775966854752387e-06 [7^ 1^ 2^ 4 0 9] +
-2.1519315434571677e-06 [7^ 1^ 2^ 4 1 9] +
-2.6638776601837882e-06 [7^ 1^ 2^ 4 4 5] +
-7.61574143541751e-06 [7^ 1^ 2^ 4 4 6] +
-2.663877660183787e-06 [7^ 1^ 3^ 0 2 8] +
-3.673573541025241e-05 [7^ 1^ 3^ 0 3 7] +
-7.61574143541751e-06 [7^ 1^ 3^ 1 2 8] +
-1.8146844475432405e-06 [7^ 1^ 3^ 1 3 7] +
-2.977596685475239e-06 [7^ 1^ 3^ 2 0 8] +
-2.1519315434571634e-06 [7^ 1^ 3^ 2 1 8] +
-2.6638776601837904e-06 [7^ 1^ 3^ 2 3 5] +
-7.61574143541751e-06 [7^ 1^ 3^ 2 3 6] +
0.00048122211063549925 [7^ 1^ 3^ 3 0 7] +
-0.000525345384626754 [7^ 1^ 3^ 3 1 7] +
-3.673573541025246e-05 [7^ 1^ 3^ 3 2 5] +
-1.8146844475431819e-06 [7^ 1^ 3^ 3 2 6] +
-2.6638776601837882e-06 [7^ 1^ 4^ 0 2 9] +
-3.673573541025243e-05 [7^ 1^ 4^ 0 4 7] +
-7.61574143541751e-06 [7^ 1^ 4^ 1 2 9] +
-1.814684447543236e-06 [7^ 1^ 4^ 1 4 7] +
-2.9775966854752387e-06 [7^ 1^ 4^ 2 0 9] +
-2.1519315434571677e-06 [7^ 1^ 4^ 2 1 9] +
-2.6638776601837882e-06 [7^ 1^ 4^ 2 4 5] +
-7.61574143541751e-06 [7^ 1^ 4^ 2 4 6] +
0.0004812221106354983 [7^ 1^ 4^ 4 0 7] +
-0.0005253453846267541 [7^ 1^ 4^ 4 1 7] +
-3.673573541025246e-05 [7^ 1^ 4^ 4 2 5] +
-1.814684447543209e-06 [7^ 1^ 4^ 4 2 6] +
-0.0009410322327432256 [7^ 1^ 5^ 5 0 7] +
-0.0029543337163795294 [7^ 1^ 5^ 5 1 7] +
1.3344566164864814e-06 [7^ 1^ 5^ 5 2 5] +
-4.6545698357082174e-05 [7^ 1^ 5^ 5 2 6] +
0.0002372758960631989 [7^ 1^ 5^ 6 0 7] +
0.00045421653822946915 [7^ 1^ 5^ 6 1 7] +
-9.80396453361661e-06 [7^ 1^ 5^ 6 2 5] +
-3.4363721062209003e-06 [7^ 1^ 5^ 6 2 6] +
-5.282688838320096e-06 [7^ 1^ 5^ 7 0 5] +
-9.80396453361661e-06 [7^ 1^ 5^ 7 0 6] +
-3.5906720716515105e-05 [7^ 1^ 5^ 7 1 5] +
-3.612299102428034e-05 [7^ 1^ 5^ 7 1 6] +
-4.206676025501678e-05 [7^ 1^ 5^ 7 2 7] +
-2.6638776601837904e-06 [7^ 1^ 5^ 7 3 8] +
-2.6638776601837882e-06 [7^ 1^ 5^ 7 4 9] +
-2.663877660183787e-06 [7^ 1^ 5^ 8 2 8] +
-3.673573541025241e-05 [7^ 1^ 5^ 8 3 7] +
-2.6638776601837882e-06 [7^ 1^ 5^ 9 2 9] +
-3.673573541025243e-05 [7^ 1^ 5^ 9 4 7] +
0.0002372758960631989 [7^ 1^ 6^ 5 0 7] +
0.00045421653822946915 [7^ 1^ 6^ 5 1 7] +
-9.80396453361661e-06 [7^ 1^ 6^ 5 2 5] +
-3.4363721062209003e-06 [7^ 1^ 6^ 5 2 6] +
0.00045421653822946915 [7^ 1^ 6^ 6 0 7] +
-0.0005959407561774762 [7^ 1^ 6^ 6 1 7] +
-3.612299102428034e-05 [7^ 1^ 6^ 6 2 5] +
-2.195364263091435e-06 [7^ 1^ 6^ 6 2 6] +
-9.80396453361661e-06 [7^ 1^ 6^ 7 0 5] +
-3.4363721062209003e-06 [7^ 1^ 6^ 7 0 6] +
-3.612299102428034e-05 [7^ 1^ 6^ 7 1 5] +
-2.195364263091435e-06 [7^ 1^ 6^ 7 1 6] +
-1.7069859417695167e-05 [7^ 1^ 6^ 7 2 7] +
-7.61574143541751e-06 [7^ 1^ 6^ 7 3 8] +
-7.61574143541751e-06 [7^ 1^ 6^ 7 4 9] +
-7.61574143541751e-06 [7^ 1^ 6^ 8 2 8] +
-1.8146844475432405e-06 [7^ 1^ 6^ 8 3 7] +
-7.61574143541751e-06 [7^ 1^ 6^ 9 2 9] +
-1.814684447543236e-06 [7^ 1^ 6^ 9 4 7] +
-5.282688838320096e-06 [7^ 1^ 7^ 5 0 5] +
-9.80396453361661e-06 [7^ 1^ 7^ 5 0 6] +
-3.5906720716515105e-05 [7^ 1^ 7^ 5 1 5] +
-3.612299102428034e-05 [7^ 1^ 7^ 5 1 6] +
-4.206676025501678e-05 [7^ 1^ 7^ 5 2 7] +
-2.6638776601837904e-06 [7^ 1^ 7^ 5 3 8] +
-2.6638776601837882e-06 [7^ 1^ 7^ 5 4 9] +
-9.80396453361661e-06 [7^ 1^ 7^ 6 0 5] +
-3.4363721062209003e-06 [7^ 1^ 7^ 6 0 6] +
-3.612299102428034e-05 [7^ 1^ 7^ 6 1 5] +
-2.195364263091435e-06 [7^ 1^ 7^ 6 1 6] +
-1.7069859417695167e-05 [7^ 1^ 7^ 6 2 7] +
-7.61574143541751e-06 [7^ 1^ 7^ 6 3 8] +
-7.61574143541751e-06 [7^ 1^ 7^ 6 4 9] +
0.000475261102667649 [7^ 1^ 7^ 7 0 7] +
-0.0005296561849245632 [7^ 1^ 7^ 7 1 7] +
-4.206676025501678e-05 [7^ 1^ 7^ 7 2 5] +
-1.7069859417695167e-05 [7^ 1^ 7^ 7 2 6] +
-2.977596685475239e-06 [7^ 1^ 7^ 8 0 8] +
-2.1519315434571634e-06 [7^ 1^ 7^ 8 1 8] +
-2.6638776601837904e-06 [7^ 1^ 7^ 8 3 5] +
-7.61574143541751e-06 [7^ 1^ 7^ 8 3 6] +
-2.9775966854752387e-06 [7^ 1^ 7^ 9 0 9] +
-2.1519315434571677e-06 [7^ 1^ 7^ 9 1 9] +
-2.6638776601837882e-06 [7^ 1^ 7^ 9 4 5] +
-7.61574143541751e-06 [7^ 1^ 7^ 9 4 6] +
-2.663877660183787e-06 [7^ 1^ 8^ 5 2 8] +
-3.673573541025241e-05 [7^ 1^ 8^ 5 3 7] +
-7.61574143541751e-06 [7^ 1^ 8^ 6 2 8] +
-1.8146844475432405e-06 [7^ 1^ 8^ 6 3 7] +
-2.977596685475239e-06 [7^ 1^ 8^ 7 0 8] +
-2.1519315434571634e-06 [7^ 1^ 8^ 7 1 8] +
-2.6638776601837904e-06 [7^ 1^ 8^ 7 3 5] +
-7.61574143541751e-06 [7^ 1^ 8^ 7 3 6] +
0.00048122211063549925 [7^ 1^ 8^ 8 0 7] +
-0.000525345384626754 [7^ 1^ 8^ 8 1 7] +
-3.673573541025246e-05 [7^ 1^ 8^ 8 2 5] +
-1.8146844475431819e-06 [7^ 1^ 8^ 8 2 6] +
-2.6638776601837882e-06 [7^ 1^ 9^ 5 2 9] +
-3.673573541025243e-05 [7^ 1^ 9^ 5 4 7] +
-7.61574143541751e-06 [7^ 1^ 9^ 6 2 9] +
-1.814684447543236e-06 [7^ 1^ 9^ 6 4 7] +
-2.9775966854752387e-06 [7^ 1^ 9^ 7 0 9] +
-2.1519315434571677e-06 [7^ 1^ 9^ 7 1 9] +
-2.6638776601837882e-06 [7^ 1^ 9^ 7 4 5] +
-7.61574143541751e-06 [7^ 1^ 9^ 7 4 6] +
0.0004812221106354983 [7^ 1^ 9^ 9 0 7] +
-0.0005253453846267541 [7^ 1^ 9^ 9 1 7] +
-3.673573541025246e-05 [7^ 1^ 9^ 9 2 5] +
-1.814684447543209e-06 [7^ 1^ 9^ 9 2 6] +
0.008369857241318151 [7^ 2^ 0 5] +
0.010313243245736969 [7^ 2^ 0 6] +
-1.3820444237611793e-05 [7^ 2^ 0^ 0 0 5] +
1.3344566164864814e-06 [7^ 2^ 0^ 0 0 6] +
1.3344566164864814e-06 [7^ 2^ 0^ 0 1 5] +
-4.6545698357082174e-05 [7^ 2^ 0^ 0 1 6] +
-0.0030098210453103607 [7^ 2^ 0^ 0 2 7] +
1.4197737343083008e-05 [7^ 2^ 0^ 0 3 8] +
1.4197737343082997e-05 [7^ 2^ 0^ 0 4 9] +
-5.282688838320096e-06 [7^ 2^ 0^ 1 0 5] +
-9.80396453361661e-06 [7^ 2^ 0^ 1 0 6] +
-9.80396453361661e-06 [7^ 2^ 0^ 1 1 5] +
-3.4363721062209003e-06 [7^ 2^ 0^ 1 1 6] +
0.000475261102667649 [7^ 2^ 0^ 1 2 7] +
-2.977596685475239e-06 [7^ 2^ 0^ 1 3 8] +
-2.9775966854752387e-06 [7^ 2^ 0^ 1 4 9] +
-4.0231814382443915e-05 [7^ 2^ 0^ 2 0 7] +
-4.206676025501678e-05 [7^ 2^ 0^ 2 1 7] +
-4.0231814382443915e-05 [7^ 2^ 0^ 2 2 5] +
-4.206676025501678e-05 [7^ 2^ 0^ 2 2 6] +
-2.3735865611914924e-06 [7^ 2^ 0^ 3 0 8] +
-2.663877660183787e-06 [7^ 2^ 0^ 3 1 8] +
-2.3735865611914924e-06 [7^ 2^ 0^ 3 3 5] +
-2.663877660183787e-06 [7^ 2^ 0^ 3 3 6] +
-2.3735865611914933e-06 [7^ 2^ 0^ 4 0 9] +
-2.6638776601837882e-06 [7^ 2^ 0^ 4 1 9] +
-2.3735865611914933e-06 [7^ 2^ 0^ 4 4 5] +
-2.6638776601837882e-06 [7^ 2^ 0^ 4 4 6] +
0.010313243245736969 [7^ 2^ 1 5] +
0.03134241777155095 [7^ 2^ 1 6] +
-5.282688838320096e-06 [7^ 2^ 1^ 0 0 5] +
-9.80396453361661e-06 [7^ 2^ 1^ 0 0 6] +
-9.80396453361661e-06 [7^ 2^ 1^ 0 1 5] +
-3.4363721062209003e-06 [7^ 2^ 1^ 0 1 6] +
0.000475261102667649 [7^ 2^ 1^ 0 2 7] +
-2.977596685475239e-06 [7^ 2^ 1^ 0 3 8] +
-2.9775966854752387e-06 [7^ 2^ 1^ 0 4 9] +
-3.5906720716515105e-05 [7^ 2^ 1^ 1 0 5] +
-3.612299102428034e-05 [7^ 2^ 1^ 1 0 6] +
-3.612299102428034e-05 [7^ 2^ 1^ 1 1 5] +
-2.195364263091435e-06 [7^ 2^ 1^ 1 1 6] +
-0.0005296561849245632 [7^ 2^ 1^ 1 2 7] +
-2.1519315434571634e-06 [7^ 2^ 1^ 1 3 8] +
-2.1519315434571677e-06 [7^ 2^ 1^ 1 4 9] +
-4.206676025501678e-05 [7^ 2^ 1^ 2 0 7] +
-1.7069859417695167e-05 [7^ 2^ 1^ 2 1 7] +
-4.206676025501678e-05 [7^ 2^ 1^ 2 2 5] +
-1.7069859417695167e-05 [7^ 2^ 1^ 2 2 6] +
-2.6638776601837904e-06 [7^ 2^ 1^ 3 0 8] +
-7.61574143541751e-06 [7^ 2^ 1^ 3 1 8] +
-2.6638776601837904e-06 [7^ 2^ 1^ 3 3 5] +
-7.61574143541751e-06 [7^ 2^ 1^ 3 3 6] +
-2.6638776601837882e-06 [7^ 2^ 1^ 4 0 9] +
-7.61574143541751e-06 [7^ 2^ 1^ 4 1 9] +
-2.6638776601837882e-06 [7^ 2^ 1^ 4 4 5] +
-7.61574143541751e-06 [7^ 2^ 1^ 4 4 6] +
0.154725783095907 [7^ 2^ 2 7] +
-4.0231814382443915e-05 [7^ 2^ 2^ 0 0 7] +
-4.206676025501678e-05 [7^ 2^ 2^ 0 1 7] +
-4.0231814382443915e-05 [7^ 2^ 2^ 0 2 5] +
-4.206676025501678e-05 [7^ 2^ 2^ 0 2 6] +
-4.206676025501678e-05 [7^ 2^ 2^ 1 0 7] +
-1.7069859417695167e-05 [7^ 2^ 2^ 1 1 7] +
-4.206676025501678e-05 [7^ 2^ 2^ 1 2 5] +
-1.7069859417695167e-05 [7^ 2^ 2^ 1 2 6] +
-4.0231814382443915e-05 [7^ 2^ 2^ 2 0 5] +
-4.206676025501678e-05 [7^ 2^ 2^ 2 0 6] +
-4.206676025501678e-05 [7^ 2^ 2^ 2 1 5] +
-1.7069859417695167e-05 [7^ 2^ 2^ 2 1 6] +
-0.0004684770917873979 [7^ 2^ 2^ 2 2 7] +
-3.8696846630497805e-06 [7^ 2^ 2^ 2 3 8] +
-3.8696846630497856e-06 [7^ 2^ 2^ 2 4 9] +
-3.8696846630497805e-06 [7^ 2^ 2^ 3 2 8] +
-3.8696846630497805e-06 [7^ 2^ 2^ 3 3 7] +
-3.8696846630497856e-06 [7^ 2^ 2^ 4 2 9] +
-3.8696846630497856e-06 [7^ 2^ 2^ 4 4 7] +
0.00819797482037085 [7^ 2^ 3 8] +
-2.3735865611914924e-06 [7^ 2^ 3^ 0 0 8] +
-2.663877660183787e-06 [7^ 2^ 3^ 0 1 8] +
-2.3735865611914924e-06 [7^ 2^ 3^ 0 3 5] +
-2.663877660183787e-06 [7^ 2^ 3^ 0 3 6] +
-2.6638776601837904e-06 [7^ 2^ 3^ 1 0 8] +
-7.61574143541751e-06 [7^ 2^ 3^ 1 1 8] +
-2.6638776601837904e-06 [7^ 2^ 3^ 1 3 5] +
-7.61574143541751e-06 [7^ 2^ 3^ 1 3 6] +
-3.8696846630497805e-06 [7^ 2^ 3^ 2 2 8] +
-3.8696846630497805e-06 [7^ 2^ 3^ 2 3 7] +
-3.5483336305594415e-05 [7^ 2^ 3^ 3 0 5] +
-3.673573541025246e-05 [7^ 2^ 3^ 3 0 6] +
-3.673573541025246e-05 [7^ 2^ 3^ 3 1 5] +
-1.8146844475431819e-06 [7^ 2^ 3^ 3 1 6] +
-0.000452975627313723 [7^ 2^ 3^ 3 2 7] +
-3.869684663049779e-06 [7^ 2^ 3^ 3 3 8] +
1.0626905310846216e-07 [7^ 2^ 3^ 3 4 9] +
-1.9804146615348253e-06 [7^ 2^ 3^ 4 3 9] +
-1.9804146615348253e-06 [7^ 2^ 3^ 4 4 8] +
0.00819797482037085 [7^ 2^ 4 9] +
-2.3735865611914933e-06 [7^ 2^ 4^ 0 0 9] +
-2.6638776601837882e-06 [7^ 2^ 4^ 0 1 9] +
-2.3735865611914933e-06 [7^ 2^ 4^ 0 4 5] +
-2.6638776601837882e-06 [7^ 2^ 4^ 0 4 6] +
-2.6638776601837882e-06 [7^ 2^ 4^ 1 0 9] +
-7.61574143541751e-06 [7^ 2^ 4^ 1 1 9] +
-2.6638776601837882e-06 [7^ 2^ 4^ 1 4 5] +
-7.61574143541751e-06 [7^ 2^ 4^ 1 4 6] +
-3.8696846630497856e-06 [7^ 2^ 4^ 2 2 9] +
-3.8696846630497856e-06 [7^ 2^ 4^ 2 4 7] +
-1.9804146615348253e-06 [7^ 2^ 4^ 3 3 9] +
-1.9804146615348253e-06 [7^ 2^ 4^ 3 4 8] +
-3.5483336305594415e-05 [7^ 2^ 4^ 4 0 5] +
-3.673573541025246e-05 [7^ 2^ 4^ 4 0 6] +
-3.673573541025246e-05 [7^ 2^ 4^ 4 1 5] +
-1.814684447543209e-06 [7^ 2^ 4^ 4 1 6] +
-0.0004529756273137231 [7^ 2^ 4^ 4 2 7] +
1.0626905310846498e-07 [7^ 2^ 4^ 4 3 8] +
-3.8696846630497805e-06 [7^ 2^ 4^ 4 4 9] +
-1.3820444237611793e-05 [7^ 2^ 5^ 5 0 5] +
1.3344566164864814e-06 [7^ 2^ 5^ 5 0 6] +
1.3344566164864814e-06 [7^ 2^ 5^ 5 1 5] +
-4.6545698357082174e-05 [7^ 2^ 5^ 5 1 6] +
-0.0030098210453103607 [7^ 2^ 5^ 5 2 7] +
1.4197737343083008e-05 [7^ 2^ 5^ 5 3 8] +
1.4197737343082997e-05 [7^ 2^ 5^ 5 4 9] +
-5.282688838320096e-06 [7^ 2^ 5^ 6 0 5] +
-9.80396453361661e-06 [7^ 2^ 5^ 6 0 6] +
-9.80396453361661e-06 [7^ 2^ 5^ 6 1 5] +
-3.4363721062209003e-06 [7^ 2^ 5^ 6 1 6] +
0.000475261102667649 [7^ 2^ 5^ 6 2 7] +
-2.977596685475239e-06 [7^ 2^ 5^ 6 3 8] +
-2.9775966854752387e-06 [7^ 2^ 5^ 6 4 9] +
-4.0231814382443915e-05 [7^ 2^ 5^ 7 0 7] +
-4.206676025501678e-05 [7^ 2^ 5^ 7 1 7] +
-4.0231814382443915e-05 [7^ 2^ 5^ 7 2 5] +
-4.206676025501678e-05 [7^ 2^ 5^ 7 2 6] +
-2.3735865611914924e-06 [7^ 2^ 5^ 8 0 8] +
-2.663877660183787e-06 [7^ 2^ 5^ 8 1 8] +
-2.3735865611914924e-06 [7^ 2^ 5^ 8 3 5] +
-2.663877660183787e-06 [7^ 2^ 5^ 8 3 6] +
-2.3735865611914933e-06 [7^ 2^ 5^ 9 0 9] +
-2.6638776601837882e-06 [7^ 2^ 5^ 9 1 9] +
-2.3735865611914933e-06 [7^ 2^ 5^ 9 4 5] +
-2.6638776601837882e-06 [7^ 2^ 5^ 9 4 6] +
-5.282688838320096e-06 [7^ 2^ 6^ 5 0 5] +
-9.80396453361661e-06 [7^ 2^ 6^ 5 0 6] +
-9.80396453361661e-06 [7^ 2^ 6^ 5 1 5] +
-3.4363721062209003e-06 [7^ 2^ 6^ 5 1 6] +
0.000475261102667649 [7^ 2^ 6^ 5 2 7] +
-2.977596685475239e-06 [7^ 2^ 6^ 5 3 8] +
-2.9775966854752387e-06 [7^ 2^ 6^ 5 4 9] +
-3.5906720716515105e-05 [7^ 2^ 6^ 6 0 5] +
-3.612299102428034e-05 [7^ 2^ 6^ 6 0 6] +
-3.612299102428034e-05 [7^ 2^ 6^ 6 1 5] +
-2.195364263091435e-06 [7^ 2^ 6^ 6 1 6] +
-0.0005296561849245632 [7^ 2^ 6^ 6 2 7] +
-2.1519315434571634e-06 [7^ 2^ 6^ 6 3 8] +
-2.1519315434571677e-06 [7^ 2^ 6^ 6 4 9] +
-4.206676025501678e-05 [7^ 2^ 6^ 7 0 7] +
-1.7069859417695167e-05 [7^ 2^ 6^ 7 1 7] +
-4.206676025501678e-05 [7^ 2^ 6^ 7 2 5] +
-1.7069859417695167e-05 [7^ 2^ 6^ 7 2 6] +
-2.6638776601837904e-06 [7^ 2^ 6^ 8 0 8] +
-7.61574143541751e-06 [7^ 2^ 6^ 8 1 8] +
-2.6638776601837904e-06 [7^ 2^ 6^ 8 3 5] +
-7.61574143541751e-06 [7^ 2^ 6^ 8 3 6] +
-2.6638776601837882e-06 [7^ 2^ 6^ 9 0 9] +
-7.61574143541751e-06 [7^ 2^ 6^ 9 1 9] +
-2.6638776601837882e-06 [7^ 2^ 6^ 9 4 5] +
-7.61574143541751e-06 [7^ 2^ 6^ 9 4 6] +
-4.0231814382443915e-05 [7^ 2^ 7^ 5 0 7] +
-4.206676025501678e-05 [7^ 2^ 7^ 5 1 7] +
-4.0231814382443915e-05 [7^ 2^ 7^ 5 2 5] +
-4.206676025501678e-05 [7^ 2^ 7^ 5 2 6] +
-4.206676025501678e-05 [7^ 2^ 7^ 6 0 7] +
-1.7069859417695167e-05 [7^ 2^ 7^ 6 1 7] +
-4.206676025501678e-05 [7^ 2^ 7^ 6 2 5] +
-1.7069859417695167e-05 [7^ 2^ 7^ 6 2 6] +
-4.0231814382443915e-05 [7^ 2^ 7^ 7 0 5] +
-4.206676025501678e-05 [7^ 2^ 7^ 7 0 6] +
-4.206676025501678e-05 [7^ 2^ 7^ 7 1 5] +
-1.7069859417695167e-05 [7^ 2^ 7^ 7 1 6] +
-0.0004684770917873979 [7^ 2^ 7^ 7 2 7] +
-3.8696846630497805e-06 [7^ 2^ 7^ 7 3 8] +
-3.8696846630497856e-06 [7^ 2^ 7^ 7 4 9] +
-3.8696846630497805e-06 [7^ 2^ 7^ 8 2 8] +
-3.8696846630497805e-06 [7^ 2^ 7^ 8 3 7] +
-3.8696846630497856e-06 [7^ 2^ 7^ 9 2 9] +
-3.8696846630497856e-06 [7^ 2^ 7^ 9 4 7] +
-2.3735865611914924e-06 [7^ 2^ 8^ 5 0 8] +
-2.663877660183787e-06 [7^ 2^ 8^ 5 1 8] +
-2.3735865611914924e-06 [7^ 2^ 8^ 5 3 5] +
-2.663877660183787e-06 [7^ 2^ 8^ 5 3 6] +
-2.6638776601837904e-06 [7^ 2^ 8^ 6 0 8] +
-7.61574143541751e-06 [7^ 2^ 8^ 6 1 8] +
-2.6638776601837904e-06 [7^ 2^ 8^ 6 3 5] +
-7.61574143541751e-06 [7^ 2^ 8^ 6 3 6] +
-3.8696846630497805e-06 [7^ 2^ 8^ 7 2 8] +
-3.8696846630497805e-06 [7^ 2^ 8^ 7 3 7] +
-3.5483336305594415e-05 [7^ 2^ 8^ 8 0 5] +
-3.673573541025246e-05 [7^ 2^ 8^ 8 0 6] +
-3.673573541025246e-05 [7^ 2^ 8^ 8 1 5] +
